Stock,Asset Turnover,Asset Turnover (Average),Asset Turnover (Average) YOY,Asset Turnover YOY,Book Value Per Share * USD,Book Value Per Share * USD YOY,Cap Ex as a % of Sales,Cap Spending USD Mil,Cash & Short-Term Investments,Cash & Short-Term Investments YOY,EBT Margin,Earnings Per Share USD,Earnings Per Share USD YOY,Financial Leverage,Financial Leverage (Average),Fixed Assets Turnover,Free Cash Flow Per Share * USD,Free Cash Flow Per Share * USD YOY,Free Cash Flow USD Mil,Free Cash Flow USD Mil YOY,Free Cash Flow/Net Income,Free Cash Flow/Net Income YOY,Free Cash Flow/Sales %,Mean Future Fractional Price Change,Mean Past Fractional Price Change,Mean Price,Net Income USD Mil,Net Income USD Mil YOY,Net Margin %,Net PP&E,Net PP&E YOY,Operating Cash Flow USD Mil,Operating Cash Flow USD Mil YOY,Operating Income USD Mil,Operating Income USD Mil YOY,Operating Margin,Operating Margin %,Return on Assets %,Return on Assets % YOY,Return on Equity %,Revenue,Revenue USD Mil,Revenue USD Mil YOY,Revenue YOY,Shares Mil,Shares Mil YOY,Total Assets,Total Assets YOY,Total Liabilities,Total Liabilities & Equity,Total Liabilities & Equity YOY,Total Liabilities YOY,Total Stockholders' Equity,Total Stockholders' Equity YOY,Working Capital Ratio,P/E Ratio,P/B Ratio,D/E Ratio,Working Capital Ratio YOY,P/E Ratio YOY,P/B Ratio YOY,D/E Ratio YOY
A,0.44,0.44,0.676923076923,0.676923076923,12.36,0.73440285205,2.43,-98.0,26.78,0.957796852647,11.89,1.2,0.740740740741,1.79,1.79,4.74,0.9,0.416666666667,393.0,0.776679841897,0.98,1.0652173913,9.73,1.27665917018,0.939855232557,35.5563387727,401.0,0.730418943534,9.93,8.08,0.794493608653,491.0,0.690576652602,522.0,1.24582338902,12.93,12.9,4.38,0.935897435897,8.47,100.0,4.038,0.997529644269,1.0,335.0,0.991124260355,100.0,1.0,44.28,100.0,1.0,0.866875489428,55.72,1.13900245298,2.25835591689,29.6302823106,2.87672643792,0.794687724336,1.15356820235,1.26880456395,1.27975433365,0.761083075071
AAI,0.38,0.38,0.974358974359,0.974358974359,11.4,1.01806008565,27.02,-18.0,8.04,1.16353111433,15.23,1.0280142,3.88290748096,1.61,1.61,0.58,0.86,0.931348063406,5.84464597,0.468110148149,0.5,0.121654501217,6.42,3.84615384615,4.33333333333,0.13,11.79796944,3.88436807737,12.96,64.53,0.984289200732,33.0,1.01095113902,22.0,1.00697713303,20.22,20.2,4.88,4.3963963964,7.71,100.0,25.0,1.02803738318,1.0,11.5,1.0,100.0,1.0,60.82,100.0,1.0,1.00709379574,100.0,1.54607297464,1.64419598816,0.126457397184,0.0114035087719,0.6082,0.992956171739,1.11600221086,4.25646127808,0.651388267086
AAME,0.53,0.53,1.01923076923,1.01923076923,5.05,1.01814516129,0.19,-0.0,4.97,0.961315280464,3.44,0.19,1.0,3.07,3.07,5.32,0.21,-4.2,2.0,inf,0.43,6.14285714286,1.14,0.816833228994,1.23838999994,4.76637481818,4.0,1.0,2.4,13.73,1.00252016129,2.0,0.5,6.0,1.2,3.44,3.4,1.26,1.008,3.86,100.0,166.0,1.0,1.0,21.0,1.0,100.0,1.0,67.42,100.0,1.0,1.00431997617,32.58,0.991177365379,1.48323939484,25.0861832536,0.943836597659,2.06936771025,0.995698605751,1.23838999994,1.21631968311,1.01325959536
AAN,1.24,1.24,0.976377952756,0.976377952756,18.5,1.11647555824,1.9,-61.0,1.4,1.38613861386,6.7,1.86,1.72222222222,1.95,1.95,14.63,1.72,172.0,106.0,-1.09278350515,0.78,-0.634146341463,3.34,1.4070909602,0.803533231512,22.8488205909,136.0,1.74358974359,4.27,8.49,0.998823529412,167.0,-3.40816326531,236.0,1.68571428571,7.42,7.4,5.31,1.45479452055,10.48,100.0,3.18,1.17996289425,1.0,73.0,1.0,100.0,1.0,48.6,100.0,1.0,0.96812749004,51.4,1.03212851406,2.05761316872,12.2843121456,1.23507138329,0.945525291829,1.0329218107,0.466567682814,0.719705170061,0.937991225755
AAON,1.54,1.54,0.968553459119,0.968553459119,3.74,1.12990936556,5.85,-21.0,8.74,0.509027373326,19.89,0.84,1.05,1.3,1.3,3.72,0.62,0.911764705882,32.0,0.888888888889,0.7,0.853658536585,8.91,1.41295876509,1.10011439703,23.3350252273,46.0,1.04545454545,12.75,43.4,1.1006847578,53.0,1.01923076923,71.0,1.04411764706,19.88,19.9,19.63,0.996952767902,25.91,100.0,359.0,1.00842696629,1.0,54.0,0.981818181818,100.0,1.0,23.16,100.0,1.0,0.914330833004,76.84,1.02906120262,4.31778929188,27.7797919373,6.2393115581,0.301405517959,1.09369602763,1.04772799717,0.973630656194,0.888509673357
AAP,1.21,1.21,0.828767123288,0.828767123288,32.94,1.2486732373,2.41,-235.0,1.12,0.854961832061,7.73,6.4,0.953800298063,3.31,3.31,6.79,6.26,0.961597542243,455.0,0.945945945946,0.96,0.989690721649,4.67,1.13292306043,0.969767881889,152.1517905,473.0,0.957489878543,4.84,17.64,0.981090100111,690.0,0.973201692525,826.0,0.969483568075,8.48,8.5,5.86,0.802739726027,21.14,100.0,9.737,0.989130434783,1.0,74.0,1.01369863014,100.0,1.0,69.75,100.0,1.0,0.931863727455,30.25,1.2027833002,1.43369175627,23.7737172656,4.61905860656,2.30578512397,1.07311827957,1.01674101367,0.776638637652,0.774756123817
AAPL,0.89,0.89,1.07228915663,1.07228915663,22.53,1.092628516,4.92,-11.488,14.32,1.32347504621,31.03,9.22,1.42945736434,2.43,2.43,10.85,11.82,1.52910737387,69.778,1.39835671343,1.31,1.03968253968,29.86,1.00380999591,1.14099937409,109.397967714,53.394,1.35140470767,22.85,7.74,0.869662921348,81.266,1.3609431782,71.23,1.35668437994,30.48,30.5,20.45,1.13548028873,46.25,100.0,233.715,1.27856341804,1.0,5.793,0.946104850563,100.0,1.0,58.91,100.0,1.0,1.13528618231,41.09,0.85408438994,1.69750466814,11.8652893399,4.85565768815,1.43368216111,0.880835172296,0.798204551289,1.04427017727,1.32924356853
AAWW,0.44,0.44,0.95652173913,0.95652173913,60.38,1.09166516001,14.93,-272.0,10.35,1.34241245136,-0.94,0.29,0.0682352941176,2.86,2.86,0.56,9.42,-0.884507042254,101.0,-0.372693726937,13.83,-5.44488188976,5.53,1.26911526524,0.864597404072,40.7445452727,7.0,0.0654205607477,0.4,80.09,1.03555727954,373.0,1.3663003663,124.0,0.704545454545,6.78,6.8,0.18,0.0659340659341,0.51,100.0,1.823,1.01334074486,1.0,25.0,1.0,100.0,1.0,65.08,100.0,1.0,0.994650771817,34.92,1.01012438531,1.53657037492,140.498431975,0.674802008491,1.8636884307,1.00537799631,12.6708240252,0.791998715123,0.984681477135
AB,0.67,0.67,0.991228070175,0.991228070175,15.26,1.0,3.58,-18.0,8.2,0.967768595041,7.88,1.89,1.01612903226,1.0,1.0,5.32,1.92,1.09090909091,193.0,1.06629834254,1.02,1.02,5.37,1.05525700475,1.00425349538,21.8452765455,188.0,1.03867403315,5.4,13.73,1.00252016129,193.0,1.06629834254,22.0,1.00697713303,9.09,9.1,11.7,1.02272727273,11.7,100.0,25.0,1.02803738318,1.0,101.0,1.0306122449,100.0,1.0,100.0,100.0,1.0,1.0,39.9,0.984635213248,1.0,11.5583473786,1.4315384368,2.50626566416,1.0,0.988312963705,1.00425349538,1.01560454729
ABAX,0.83,0.83,1.01219512195,1.01219512195,9.24,1.10394265233,3.0,-6.0,49.48,1.04542573421,16.31,1.2,1.90476190476,1.22,1.22,7.44,1.32,1.21100917431,30.0,1.0,1.11,0.52358490566,14.97,0.670420064633,1.65405543542,62.4558315,27.0,1.92857142857,13.49,10.15,0.810702875399,36.0,1.0,34.0,1.41666666667,16.93,16.9,11.25,1.66174298375,13.2,100.0,203.0,1.25308641975,1.0,23.0,1.0,100.0,1.0,18.16,100.0,1.0,1.70837253057,81.84,0.9157435381,5.50660792952,52.04652625,6.75928912338,0.221896383187,0.585352422909,0.868379103596,1.49831644962,1.86555783305
